Do you give consent for AIR to use the data from this survey?,Did you work in Edmonds School District in 2021-2022?,Please select a primary role describing your work with Edmonds Public Schools during the 2021-2022 school year. Select the answer that is most accurate.,,What grade levels are included at the site(s) in which you taught/worked in 2021-2022? (Check all that apply),,,PD topics,data-driven decisions why disagree,climate culture facilitators,climate culture barriers,effective communication,ineffective communication,communication recommendations
Yes,Yes,Other (please specify),Multilingual Learner Teacher,Elementary school (grades Pre-K to 6),,,Supporting students with IEPs access grade level content in the gen ed classroom when not being served by Resource Teacher.,The process of where and why students are placed are not discussed at all.  It just happens. ,,"There is a culture of students with IEPs will be taught by the Resource Teacher, and not together as a team meeting student needs.     Also, too many students are being referred.  There is very little differentiation happening in the gen ed classrooms to support students where they are at, and in turn the academic gap gets bigger and teachers request for evaluation for SpEd. ",,Copying lower grade level workbook pages for intermediate-grade students who are not at grade level standards. ,"More communication from the district regarding visions.   Also, more involvement (invitation from the district) for staff at schools with these big district decisions. "
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,How to support students in writing who have difficulties putting words on paper.    What is the requirements or expectations of the connection between what is happening in the classroom and in specialized pullout programs.  Should they be working on the same things or only working on specialized  curriculum that isn't necessarily related to what we are working on in class.,"There is a huge push to not assess students for new IEP's and to continue to ""try"" things in the classroom for months on end because there are too many students who have already qualified and we've reached the numbers cap/limit.  Students that I've sent to problem solving teams won't be assessed and will be sent back to me to ""try more things"" even when they are clearly struggling.  They will then qualify the next year for an IEP.   A year of individualized support is lost and students are sent into higher grades without getting the proper support early on.","I think that our positive climate in the school is spread to everyone in the school, including our students in learning support.  ","The lack of communication and the misdirection of District leadership in the SPED department have significantly eroded trust in the school staff and families.  This is due to leaders choosing their own priorities over the needs of students and school staff.    Additionally, our supportive para staff needs professional development to feel confident and successful in helping lead groups of students with IEPS in upper elementary grades.","At the school level, meeting in person or emailing back and forth the curriculum and present student levels is effective in communicating how to best set goals for students and create a common language between the SPED teachers and general education teachers.","Right now we have 1.5 teachers (yay--it's the first time we've had 1.5 FTE in our building in SPED).  This being said, the coordination between the case manager and the teacher who is actually serving the student in that subject is not always clear.  This leads to some misinformation in IEP meetings.    Ineffective District level is when the department is not listening to the SPED school teachers.  Putting students in inappropriate classes without consulting the teacher and not providing proper support have lead to teacher burn out and ineffective strategies for students.  ",Listen to the staff members that are directly serving the students.  Have them help you make informed decisions that will affect others.
Yes,Yes,"Non-certificated support staff, including paraeducators",,,,High school (grades 9-12),"oppositional defiance disorder, how to work with students with significant ACEs, how to maintain expectations and consistency in the midst of chaotic student interactions",,,General Education students have stereotypical views of Special Education and make fun of students in learning support room. Students don't want to be in Special Ed rooms because they think other students view them as dumb.    Our ILS room is understaffed in terms of ,,,
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,"How to engage the students in class that refuse to do any work/participate due to lack of interest/attention, or frustration/confusion. ",,,"Students that need a 1 on 1 do not have them and it causes the staff to burn out and the other students to suffer from not receiving the attention they need. Often students asking for help are told to wait and they either give up or guess rather than waiting to have it explained to them. Because a parent doesn't advocate for their child to receive a 1 on 1 or the district refuses, the staff and other students suffer. It becomes a stressful and understaffed environment that does not allow the equity in education that each student deserves. The school/district should advocate for the class as a whole and make sure that if one student needs the majority of the help available, it doesn't take from the rest of the students. Also the pay is not an incentive to continue personal development or employment in special education. Earning  just above $1.50 more an hour is not reasonable/fair for what a special education para is asked to do daily. The position is physically and mentally demanding and exhausting. Most substitutes are overwhelmed and won't return. Increasing the pay for special education substitutes as well could help ensure that the classrooms always have full coverage. ",I do appreciate this survey ,I am never sent any specific trainings available to me. I would love to be offered without having to search for myself and then also need approval. ,
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,It totally depends on the students we have in our class our gen. ed classes each year. How to specifically meet the needs of the student for their specific need and not just a extra warm body in the room. Someone with real training that doesn't allow the child to roam freely without direction.,,"Proper communication between special ed coordinators, teachers and support staff. Valuing the support staff by training them and paying them. ",There is not proper training for para educators or staff to deal with many of the special education students. Paras are brought in to support students but basically they are just a warm body to supervise the student. They need specific training both for academics as well as physical/behavior related to meet the students needs and serve them in a productive way.   Proper pay for a more demanding job and safety standard put into place when appropriate to prevent injury to staff. ,"We do have some teachers and staff who work really hard to communicate and provide structures that support the students in need. Sadly, we lost a ton of our best people because of some of the poor decision this district and school board has made over the past several years. ","It seems like we have a lot of highly paid administrative positions with their degrees and not real experience with boots on the ground. They make decisions for those of us actually in the classroom working with students. Then they turn and pat themselves on the back for the great work they do or did. When was the  last time they were in the classroom to see what is going on? How would they like to implement what they are asking staff to implement? So out of touch and not too much interest in meeting the actual needs of the students both logistically.   We have an obligation morally, ethically and legally to do what is best for the students. Where is the support and training given to the staff. It is a trickle down effect from the top that is failing. By the time the trickle down gets to the students the para educators who administer the ""support"" to the students are typically given NOTHING specific to do with those students and are left to their own ideas. I can't tell you how many times I have heard paras saying they are suppose to be supporting various students but they don't know how! No training, no lesson plans, just a warm body present so we can say the student had their minutes served. Shameful! We are here to serve the students not the administrators good feelings about themselves.   When we have a student ripping up a gen ed class we have to jump through all these ridiculous hoops for months, disrupting the learning of all the other students in class just to get someone to come observe the child. Then, maybe, just maybe there will be some sort of service/placement provided for the child in need. ","Get some skilled, experienced management in place set your priorities on meeting the needs of the students. Admin. stop making meaningly PD's for us just so you can say you did your job by providing PD opportunities. Pay the para properly and value the work they do by listening to their needs. "
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,SEL  Trauma informed care  ,"Data collection or its attempt is random, and non specific.  ",Being respectful   All staff and students  Good admin leadership ,"Principal allowing staff members to bully and disrespect other staff, members and students",,Having a communication protocol and that it’s constantly broken and employees are brought in and ambushed by the principal and other staff members without any knowledge whatsoever about what’s going on.  Only certain staff members have opinions that are valued.  Paraeducators are disrespected by staff.  Teachers with the loudest opinions are the only ones being heard.,All voices   All opinions   Have value
Yes,Yes,District administrator,,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),"coaching and building effective site based teams, decreasing resistance, building culture of inclusion for students with disabilities, using evidenced based instructional materials to close the gap for students with disabilities, writing Common Core State Standard aligned IEPs.","We do not have a collective and standard understanding of what special education services mean across different levels of programming. We do not have standard process and procedure for navigating decision making for site of service. We do not have a unified belief about students with disabilities. We do not have standard and effective tier 1 and tier 2 strategies that are implemented with fidelity. We do not have school cultures that reflect inclusion and belonging. We do not have infrastructures of support in place to help equip staff in buildings to meet the ever growing and complicated needs of students. This lack of support manifests into staff requesting a different program for students (a more restrictive placement) and writing evals and IEPs to represent this ""need"" without the data to back up the recommendation. ","Consistent and predictable meeting times with agendas that are followed. More opportunities to connect across and within departments both professionally and socially. Opportunity to build a collective and unified ""north star"". Time and space to do the system level work that will build more durable and effective process. Creating standard process/procedures for frequent tasks and structures of support.","We do not have a shared vision or mission for our work. Everyday is another day of fighting fires, but we're missing the bigger system level work that would reduce so much of the ""fire"" in our system. We do not have standard process and procedures for navigating special education provision of service. We do not hold people and systems accountable to create meaningful and inclusive structures of support for students with disabilities. In our department, there is a pattern of absentee leadership with the occasional swoop in to to micromanage the work. This is often without all the necessary context. Moving our physical cubes every year, sometimes more than once in a year. This keeps people on edge and builds feelings of instability. There is a culture of distrust in our department. This impacts how we view ourselves as administrators and everything we do. We are often directed to do something and left, hung out to dry, when there is frustration or are unmet needs in response to the directive. ",The weekly newsletter from the special education department. Program job alikes and opportunities to meet with like program staff. ,There is no district level consistent communication to families and the community.   The lack of standard process for the actual work leaves people confused and constantly asking for guidance. The guidance is often inconsistent depending on who you talk to. This sometimes results in staff splitting as people try to get the answer they want. ,Creating a unified and shared belief about students with disabilities that people are equipped and accountable to uphold. Creating standard process and procedures so people are able to do the work they are tasked with.     Creating stakeholder leadership teams.     Having boundary around email (content and frequency). There are confidential student details disclosed on email. Teams communicate via email and make pre-determination of placement decisions for students.   Staff in buildings email and call for guidance because there is no clarity/consensus in what to do.   
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,Effective collaboration tools for work with general education teachers. ,"I think that we used to place students with IEPs with other students who had similar needs.  Now the push seems to be to place students at their neighborhood schools.  I feel this is resulting in poor placements of students and not always is placing a student in the least restrictive environment. I have seen students placed at their neighborhood school who then require 1:1 paraeducator support throughout their day.  If they were to attend an Intensive Support classroom or Intensive Emotional Support classroom they would have the teacher and para support within the classroom which would be less restrictive than having 1:1 paraeducator support.  I also see these students not have peers at their level (either academic, social or emotional) and be more isolated from other students.  I do not feel that managers are being responsive to intensive support or resource room teachers who notify the manager that there is a poor placement.  The reasons for the placement and the supports to help these students are lacking. ","Special education teachers need more support from the district.  There are so many struggling students and teachers are not getting support from the district with requests for support, whether with staff, or with timely answers to questions, even when there are issues of safety regarding a student, or when there are litigious questions.  ","The program managers have too many responsibilities.  Although they  do their best, because they have too many responsibilities,  we do not get timely answers to important questions.  Edmonds used to have a good reputation for strong special education services.  I don't think that is the case anymore.  Dedicated, well-qualified personnel have left because of unrealistic expectations and a lack of respect for the experience of these professionals. ",I think the district and the schools I work at communicate well with the community using current technologies (e.g. ParentSquare).  ,"There used to be lots of people at the district office who were experienced and could answer staff questions.  Now it seems that the climate at the district office is not good, and many of those experienced people have left.  It seems like everyone's jobs have been added to so much that the system had become much less efficient instead of more efficient. ",Promote more respect for special education providers by providing them with the support and resources we need to do our jobs.  
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),,High school (grades 9-12),,"I feel as though there has been a lot of miscommunication and varying information that has been happening the past few years. When I first joined the district, admin was shifting to student being at their home schools rather than program specific placements. However, I still see students NOT at their home school and NOT in a placement that is supportive for them to be successful. Additionally, I have seen placement decisions change right before fall without communication to team members and family members, resulting in distrust from the families and teams not being able to adequately prepare for each student in order to ensure their success.",,"Lack of staff is a HUGE barrier. I have seen lots of students who are not being served per their IEP which impacts success and progress in addition to leading to staff turnover and burnout. Additionally, without a robust system of RTI, special education numbers continue to grow and misunderstanding of WHAT special education is/is not. Lack of time due to understaffing to consistently meet with teams in order to discuss positives and challenges for each student.",Biweekly department meetings with admin in order to clarify questions.,Staff newsletter comes out inconsistently. Multiple emails regarding the same topic creates confusion (i.e. recovery services),Creating time in everyone's schedule for biweekly or even monthly team meetings to discuss students in special education.
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),,use of technology to improve my efficiency and effectiveness,"Placement decisions are not consistent, particularly when a given placement is not working well and should be changed. Administration does not listen to those who know the student best! ","-openness to alternative ways and uses of: communication, mobility, equipment, participation in field trips/PE/recess.   -all classes/students represented at assemblies, art fairs,  school social events, etc.",Some schools in the district do not have adequate physical access for those with mobility issues.,Our direct supervisors do a good job of getting information to us as quickly and directly as possible. ,,"The administration, especially at the upper levels, needs to listen to those ""in the trenches."" I don't have specific recommendations for this, but I do hear discontent among those doing the daily work with students, and something needs to improve!!"
Yes,Yes,"Related service provider, psychologist, or other certificated specialist",,Elementary school (grades Pre-K to 6),Middle school (grades 7-8),High school (grades 9-12),Special Education Law   Inclusion,Student placement often occurred without input from full teams or staff with specialized training. Meetings around placement were held without inviting key central office members. ,Providing both Special Education and General Education teachers with the support necessary to support inclusion opportunities. Providing the skill training needed to respond to challenging behavior to all staff. ,Clear communication from the District office. Understanding of the law from District supervisors. Investment in programs or trainings (even in house trainings) that will support teachers in the short term until a universal plan is rolled out. Listening to stake holders around big changes. Access to District staff who have the time and expertise to help with challenging behavior or complicated cases. The language used to describe students when speaking about them during meetings. Holding teachers and building administration accountable when students academic and behavioral needs are not met. Guidance on how or what to deliver for academics or social emotional content for Special Education Classrooms.   NO respect or trust among the central special education team. NO trust in the leadership at the central office. ,Job alike meetings with structure and pre-planning. 1:1 meetings with competent central office leadership/specialist. Email communication. ,The memo. Office hours where no information is able to be given bc the individual doesn't have any answers or dismisses the problem/question. Teachers stopped attending. ,"Multimodal communication, messages on the same information communicated in different ways. Teachers all learn in different ways. Remove members of the District Special Education team that staff have lost trust and respect in. Efforts have been made on a surface level to ""look good"" by these individuals but no change has happened to connect with staff and regain any trust. Over 9 people left the central special education team because of the decisions and treatment of Dana and Hayley. These were respected, professional and dedicated educators. Dana and Hayley's actions have driven away team members, new hires and future employees. Their decisions have led to the compromise of services for our most vulnerable students. "
Yes,Yes,Other (please specify),Special Ed Para (1a),Elementary school (grades Pre-K to 6),,,Just a note that the PD offered to gen ed paras is excellent but there are few for developmental pre-k. Our individual school has provided PD in the past that was appropriate to our population.,Our school changed the school start/end time(to later times) and school assignment not based on student or family need but based on busing and administrator desire. Done without family input or notification.  Numerous families have expressed this time change has created challenges and we have had students leave the program because the new times do not work for pre-k families.,"What would promote a positive culture and climate is an administrative model that focuses on supporting the staff just as strongly as they support the children/families. If the staff feel supported, HEARD and respected then that will trickle down to the children and families which in turn will create a collaborative team that provides the best possible services. I DO feel that our current building administrator does care about us but I do not feel that the program administrator (our admins co-part) cares about staff.","Poor staff moral due to not feeling respected or heard. Implementing our current program based NOT on student/family needs and staff input but on the desires of  admin.  The program administrator (not our direct building admin) has poor communication, poor planning, poor follow-up and a disregard for the inputs of staff. We have had a high turn-over of Sped Ed admin and I feel like the remaining admin have taken advantage of a lack of oversight to push through their agenda based on their desires and not the reality of what will work. ",E-mail has been effective as far as district-level communication. Staff meetings and email have been effective at building level,As far as METHODS of communication i think the everything is good. The district communicates effectively but building level there is information that could be better shared to help improve our ability to do our jobs.,none
Yes,Yes,Other (please specify),Special Ed Para Educator,Elementary school (grades Pre-K to 6),,,Anything related to language and it's development.  We have many ESL students as well as students with minimal expressive language. ,"Placement seems to be based on busing students rather than individual student needs.  Also, we serve very young students and our afternoon class (which includes 3 year olds) ends at 3:50pm.  Many of our students still nap and they get out of school late and then some have a long bus ride home.  In my opinion that is much too late to be getting out of school for such young students. ","It would be extremely helpful for admin to take into consideration the employees working the actual job before they decide to completely change things without staff input.  More collaboration between staff and admin versus admin pushing through their own personal agenda with zero regard for staff thoughts, opinions, ideas.  More advance planning before implementing huge changes to give staff the best chance to succeed.  There has been so much planning/decision making on the fly that it doesn't best serve students or staff.  We love our students and want to do our best by them, having admin respect our ideas and working knowledge of things that work and don't work in our classroom setting would be extremely helpful.","Darcy has no thought or care about anyone or anything beyond her personal mission towards inclusion.  Inclusion is a great idea that we all want, but we also want planning in place so that we can be the most successful for our students. Complete lack of planning, lack of communication, continual changes without answers, bargaining with the union in good faith only to have admin still push through their agenda.  Very little, if any communication about changes, staffing, etc make it very hard to do our jobs effectively.   ","Staff newsletters, school newsletter, staff communication for our specific school, email from the superintendant","Lack of communication, particularly in regards to changes in the classroom and staffing.  ","More transparency in decision making, regular updates regarding district news"
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,Reading and math development  Interventions and progress monitoring,,-there are teachers who are willing to have students in intensive support classes join their gen-ed class for parts of the day,-people have different opinions about what inclusion is and what it looks like. It would be nice to be on the same page.  -not enough time to effectively plan and problem solve in a team setting to meet individual student needs  -people who don't understand their role and/or lack the knowledge necessarry to be effective at helping students make growth,-Seesaw  -apps that allow for easy translation in multiple languages ,-sending home paper copies  -not being able to translate things into other languages easily,
Yes,Yes,School administrator,,Elementary school (grades Pre-K to 6),,,"Supports and interventions for students struggling with behavior, best practices for inclusive education","Our school had a student placed into our IS program from ISES because there “was no other choice” and we were the home school, multiple students were moved to our building without our involvement in the IEP meeting; I have participated in several IEP meetings from other schools and have observed inconsistent formats and methods for deciding placement.","Inclusion of special education in general education resources or curriculum to support adopted curriculum would increase feelings of value/being part of the team; clear protocols for communication with the district to request support and coaching; clear and consistent communication from Student Services regarding expectations, law, IEP writing, and general information.","Not returning phone call, inconsistent protocols for moving students from one program to another, in consistent protocols for getting behavior support","Opportunities for SpEd and Gen Ed teachers to collaborate, bi weekly interventionist meetings other the principal, clear PST process that includes SpEd representation, open door policy with principal","Changing protocols without communicating to staff, not returning phone calls or emails, telling district help that they can no longer support the school but not communicating with the principal ","Consistent protocols for placement, consistent protocols for getting behavior support/ideas, weekly bulletin, professional development opportunities for all staff, rubrics and checklists for what needs to be done and data needed to place students, consistent expectations for who attends IEP meetings when moving student from on program to another, consistent expectations for transition meetings"
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"Teaching students with ADD and ADHD, teaching students with borderline IQ, and teaching students who are autistic.",The exact process for special education placement has never been communicated to me.  The needs of the student do not seem to outweigh the needs of our district to place a student close to home.,"I believe that the pull out model is not as effective as the push in model for most students.  However, many of my students are pulled out and have very little in class help.",We do not have enough staff to provide the services that are needed.,We have a weekly school-wide newsletter that seems to be effective in getting information out.  My class uses Seesaw and most parents look at this information right away.  They also contact me frequently using this app or Parent Square.,None.,Having Parent Square and Seesaw for my class is confusing.  I prefer using just Seesaw.  I think we need to find some way to reach families that are impacted/struggling.  I have a handful of families that don't look at any digital or paper communication.  Some are even difficult to reach by phone.  These students and families should be part of a targeted group as they are the most at risk.
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,How to handle difficult behaviors ,,More consistent and adequate staffing. More collaboration with special Ed staff and general staff. Sometimes it feels a little like us versus them,Lack of qualified staffing,Email ,,
Yes,Yes,General education teacher,,,,High school (grades 9-12),,Placement and goals vary widely and are inconsistent. ,"More effective placement and getting rid of the required Canvas notifications for IEP students. Those notifications are insulting, unnecessary and unprofessional. ",Insufficient classroom support with paraeducators and IEP teachers. Social Studies high school classes are singled out for inappropriate inclusion and create unfair working conditions. A grievance is long overdue. ,Pre tSquaee,Skyward ,ESD departments must get out of their silos. There is no cohesive vision between departments at the district level. 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,"Autism, ADD/ADHD, non-verbal students, and physical disabilities.  AND students with emotional/mental disabilities and how to support them in the general education classroom since the district isn't supporting or providing appropriate resources for the teachers, case managers, families, and most importantly, the students.","I have no idea how students with disabilities are placed in our district or in our Intensive Support classrooms.  I continually see students with incredible emotional/mental disabilities in general education classrooms with very little support. While I believe in inclusion, many of these students take away from the learning of the rest of the class on a regular basis. Classrooms are evacuated (why is this one child not evacuated), learning is disrupted, the rest of the class is terrified, etc.  Why does safety and learning take the backseat to a student who OBVIOUSLY needs a different placement.  We have WAY too many students like this in our district.  This needs to be resolved and classrooms need to be designed or created for students with these types of special needs.  This also should be considered for our Intensive Support classrooms.  We don't have enough paraeducators to support our IS teachers.  They are burning out. ",I feel that our school does a good job creating a positive climate and culture realted to our special education.  The district is the problem. ,"The issue is not having enough staff in our special education classes, one-on-one's for students that need it, etc.  This is not a school issue, this is a district issue. ",Communication switching to parent square. Offering Zoom as a way to attend conferences and meetings. ,"Weekly meetings to discuss the same student and their progress when it is obvious that the student is in the wrong placement. Having professional development that makes us feel even more guilty about what ""we aren't doing"" and then giving us more to do and less time to prepare.  ","ASK THE TEACHERS.  ASK THE PARAPROFESSIONALS.  Give us the opportunity to make the decisions and give input  instead of TELLING us.  We are in the classrooms, we are with the students, the DISTRICT isn't!!"
Yes,Yes,"Non-certificated support staff, including paraeducators",,Elementary school (grades Pre-K to 6),,,strategies to support students with disabilities ,I don't know about the data,need communication well with families ,,School level communication ,Nonexistent I ,I hope there are more visual directions or signs for communication with students with disabilities. 
Yes,Yes,General education teacher,,Elementary school (grades Pre-K to 6),,,,,We already have students with special needs in the general education classes. Understanding more of what happens in an IS classroom. ,The IS teachers are tired! They are working so hard. ,Some form of email is effective,"Parent Square - I don't like how you can't delete past messages. Plus, there was no training. Just take time to figure it out for yourself (maybe watch these videos).","I didn't see where I could put these comments, so I am putting them here. I don't have training in how to teach and serve the most severely autistic students. If they are in my classroom during the regular school day, I am unsure of what to do on so many levels. I am not supported to take on more barriers to learning (and teaching)."
Yes,Yes,School administrator,,,,High school (grades 9-12),"I would like to know how my Sped Teachers can get timely responses to specific questions.  What I am told by them is that they often email and call, never getting Hayley but getting someone who does not know the answer and then people don't get back to them OR they are told they were trained on this date and give reference to a specific slide in a slideshow.  I reiterate again, this is not training or professional development.","When I have attended meetings with Hayley, she is often in ""cover her rearend"" mode, proving she gave this training or that training (which to her is a slideshow or checklist).  She does not know how to do her job and should not be in that position.  It seems to always be about sending responsibility to someone else, like an administrator, to do her job.  I never had issues like this when we had someone like Tim Garbrech doing the position.  Hayley is argumentative and condescending to staff.  In my experience, previous people in this position looked for solutions and ways to work together - Hayley looks to cover her self and blame others.   When she is confronted with facts, like the coordinated effort I saw at various boardmeetings, rather than take responsibility, she acts like she was treated unfairly. ","We need sufficient staffing, especially for special education students.  When concerns are brought before the board, the way I saw so many Sped Teachers eloquently bring their factual concerns, it would have been great to see more action than a listening session (which was not taken seriously be Hayley and her teammates as evidenced by their smiles and snickers ).  ",We are losing so may excellent special education district level personnel due to Hayley's incompetence and bullying behavior.  She should not be in this position.  It is her direct lack of leadership and poor special education program knowledge which has allowed this to happen.  We once had a very strong program and the best people are being stolen to other districts.,"There are so many special education teachers in the district who are fabulous at their jobs.  If those superstars were allowed to mentor other teachers, and help them write their IEPs things would improve. ","Using slideshows and handouts/checklists that have been directly taken almost word for word from districts out of state and calling them original creations of Hayley as well as citing case law from another state which has little relevance to us but is being used as a way to force teachers to ammend IEPs is not appropriate. We need Special Education Leaders who know what they are doing and who are willing to put in the work to hire strong people, not followers of the bullies in the department.   Additionally, the special education memo is horrible and not helpful to my teachers.  They seem more like ways to ""prove"" they have given enough information to say that leadership did their job, rather than to actually train staff to do their best work.",Replace the district leadership in the special education department - starting with Hayley.
